address,distance,distance_type,rating,capaciity,area,price
danang,2000,km,93,1,21,870000
danang,3300,km,95,1,70,1080000
danang,3500,km,90,1,36,899999
danang,3600,km,87,1,36,501600
danang,3500,km,90,1,35,694925
danang,3400,km,82,1,65,726750
danang,3100,km,80,1,40,495000
danang,12400,km,70,1,41,7584882
danang,600,km,92,1,33,950000
danang,3400,km,80,1,70,1235000
danang,4400,km,93,1,35,650000
danang,13100,km,86,1,38,2888889
danang,3400,km,89,1,65,980100
danang,300,m,87,1,32,901935
danang,9800,km,89,1,370,8976000
danang,4900,km,87,1,400,11048360
danang,1200,km,93,1,25,540270
danang,3400,km,88,1,68,1330000
danang,3500,km,85,1,45,1459000
danang,2900,km,91,1,50,1200000
danang,3200,km,98,1,40,1100000
danang,3400,km,85,1,65,1500000
danang,2700,km,93,1,20,1170000
danang,2700,km,86,1,30,869400
danang,3400,km,80,1,60,688500
danang,4500,km,85,1,240,8494791
danang,3400,km,93,1,65,1000000
danang,3400,km,85,1,68,1144000
danang,1600,km,94,1,50,382500
danang,3200,km,84,1,32,396000
danang,5000,km,86,1,400,11337662
danang,2700,km,89,1,39,630000
danang,3500,km,97,1,70,270000
danang,3000,km,87,1,65,2039993
danang,2600,km,84,1,27,560000
danang,3300,km,92,1,75,3420000
danang,3400,km,75,1,65,1080000
danang,4200,km,88,1,45,638400
danang,1100,km,96,1,50,1350000
danang,12200,km,94,1,250,5607000
danang,1100,km,90,1,25,480000
danang,3300,km,96,1,35,300000
danang,3300,km,91,1,50,769774
danang,2800,km,93,1,35,1177000
danang,3100,km,90,1,515,11830107
danang,2700,km,95,1,28,523450
danang,2100,km,91,1,20,456500
danang,1100,km,90,1,25,526500
danang,8100,km,100,1,65,4009500
danang,2300,km,91,1,27,642600
danang,5600,km,94,1,106,11158055
danang,3000,km,88,1,28,612612
danang,8800,km,89,1,45,2247750
danang,4200,km,95,1,33,994500
danang,4900,km,89,1,40,660000
danang,2500,km,94,1,25,299700
danang,2800,km,83,1,44,1680000
danang,3400,km,87,1,30,631720
danang,2700,km,100,1,35,631800
danang,3100,km,100,1,24,506000
danang,3400,km,92,1,30,994500
danang,400,m,99,1,45,873000
danang,400,m,92,1,30,1744200
danang,3400,km,80,1,69,1365000
danang,2800,km,88,1,40,380000
danang,12000,km,83,1,70,3138750
danang,2600,km,95,1,40,1037221
danang,3500,km,90,1,30,850500
danang,2700,km,95,1,35,1213800
danang,4200,km,94,1,40,750036
danang,1400,km,96,1,30,646380
danang,3400,km,80,1,58,950000
danang,3400,km,88,1,55,441000
danang,10000,km,100,1,616,7125000
danang,2500,km,80,2,33,550000
danang,11700,km,100,2,318,5489338
danang,5000,km,97,2,400,9500000
danang,12400,km,65,2,72,1674259
danang,7800,km,55,2,350,12000000
danang,3000,km,89,2,400,8550000
danang,3900,km,100,2,500,13241905
danang,12400,km,90,2,90,2595558
danang,1300,km,100,2,300,3847500
danang,9600,km,90,2,90,2500000
danang,5900,km,100,2,360,10000000
danang,3100,km,93,2,44,1032750
danang,2200,km,85,2,300,4500000
danang,10000,km,100,2,220,8500000
danang,3400,km,79,2,70,2550000
danang,12400,km,50,2,54,1600370
danang,3300,km,87,2,400,5850000
danang,4600,km,94,2,400,7200000
danang,2800,km,100,2,210,3333333
danang,12400,km,70,2,70,2000000
danang,2500,km,100,2,71,1000000
danang,11700,km,70,2,900,9000000
danang,3500,km,10,2,85,2000000
